City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
2,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
4,Alice Springs,AU,86.07,moderate rain,-23.7,133.8833,Desert Palms Alice Springs
12,Hilo,US,76.73,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
13,Manjeshwar,IN,81.55,overcast clouds,12.7194,74.8861,SOOFINAGAR
14,Vaini,TO,77.16,moderate rain,-21.2,-175.2,Keleti Beach Resort
16,Rikitea,PF,75.63,light rain,-23.1203,-134.9692,People ThankYou
26,Cururupu,BR,74.95,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
33,Jurado,CO,76.39,moderate rain,7.1053,-77.7641,
39,Saint-Philippe,RE,81.48,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
45,Loandjili,CG,78.91,light rain,-4.7561,11.8578,Résidence ARCHANGE
49,Vao,NC,72.75,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
60,Butaritari,KI,81.88,few clouds,3.0707,172.7902,Isles Sunset Lodge
61,Souillac,MU,79.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
62,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
66,Edd,ER,84.2,few clouds,13.9297,41.6925,
77,Atuona,PF,78.33,clear sky,-9.8,-139.0333,Villa Enata
81,Rock Sound,BS,75.78,overcast clouds,24.9,-76.2,Rock Sound Club
85,Ojinaga,MX,73.42,clear sky,29.5667,-104.4167,Suites Las Palmas
88,Mount Isa,AU,87.57,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
92,Lakhipur,IN,73.56,overcast clouds,26.0299,90.3041,Rajdhani Hotel
93,Georgetown,MY,88.9,few clouds,5.4112,100.3354,Cititel Penang
95,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
101,Nishihara,JP,76.66,mist,26.1842,127.7558,Minshuku Agaihama
105,Samarai,PG,85.33,clear sky,-10.6167,150.6667,Nuli Sapi
107,Sao Filipe,CV,77.85,overcast clouds,14.8961,-24.4956,Hotel Xaguate
115,Santa Marta,CO,78.85,overcast clouds,11.2408,-74.199,Casa de Isabella
120,Geraldton,AU,72.01,few clouds,-28.7667,114.6,Broadwater Mariner Resort
121,Sambava,MG,77.7,scattered clouds,-14.2667,50.1667,Melrose
122,Bambous Virieux,MU,79.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
133,San Pedro,PH,89.35,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
139,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
140,Hithadhoo,MV,82.76,overcast clouds,-0.6,73.0833,Scoop Guest House
145,Tanout,NE,76.77,few clouds,14.9709,8.8879,
146,Alyangula,AU,91.27,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
147,Dingle,PH,86.5,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
149,Callaguip,PH,87.82,few clouds,18.0714,120.4867,Pangil Beach Resort
150,Carnarvon,AU,75.27,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
153,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
155,Payo,ID,76.19,overcast clouds,-3.7508,103.6372,Mess keban agung
157,Pochutla,MX,77.85,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
158,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
159,Kavaratti,IN,81.68,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
161,Labuhan,ID,87.91,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
167,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
168,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
169,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
170,Camopi,GF,72.27,overcast clouds,3.1655,-52.3158,La pousada
171,Ewa Beach,US,80.55,few clouds,21.3156,-158.0072,Uncle Junior Robert
172,Nizwa,OM,74.46,clear sky,22.9333,57.5333,Orient Apartments
174,Nara,JP,72.77,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
176,Sola,VU,81.57,few clouds,-13.8833,167.55,Leumerus Bungalows
177,La Asuncion,VE,78.94,clear sky,11.0333,-63.8628,Colinas de Matasiete
178,Srandakan,ID,84.51,heavy intensity rain,-7.9386,110.2506,Puri Brata
182,Bengkulu,ID,83.79,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
183,Kandrian,PG,84.72,light rain,-6.2167,149.55,Kandrian Station
192,Acapulco,MX,78.12,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
194,Taganak,PH,87.94,overcast clouds,6.0833,118.3,Taganak
195,Dubbo,AU,80.73,scattered clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
203,Thinadhoo,MV,83.23,overcast clouds,0.5333,72.9333,
210,Karratha,AU,81.7,few clouds,-20.7377,116.8463,ibis Styles Karratha
214,Polonnaruwa,LK,82.13,overcast clouds,7.9333,81.0,Thisara Guest House
219,Songkhla,TH,91.45,overcast clouds,6.8333,100.6667,น.ส ซัลมา สาแม็ง
220,Omboue,GA,75.97,moderate rain,-1.5746,9.2618,Hotel Olako
229,Ambagarh Chauki,IN,72.99,broken clouds,20.7833,80.7167,Hunesh kunjam home ....
232,Careiro Da Varzea,BR,81.21,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
233,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
234,Buala,SB,86.27,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
239,Jagalur,IN,74.35,overcast clouds,14.5333,76.35,Shreya Comforts
243,Keningau,MY,84.65,scattered clouds,5.3378,116.1602,Sabindo Hotel
245,Mataram,ID,85.77,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
