City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Berlevag,NO,70.8578,29.0864,26.6,72,100,9.55,snow
1,Praia,CV,14.9215,-23.5087,75.74,73,40,13.8,scattered clouds
2,Kahului,US,20.8947,-156.47,78.82,80,40,18.41,scattered clouds
3,Khatanga,RU,71.9667,102.5,4.06,97,99,9.35,overcast clouds
4,Alice Springs,AU,-23.7,133.8833,86.07,43,86,20.31,moderate rain
5,Betafo,MG,-19.8333,46.85,69.66,70,1,1.83,clear sky
6,Deputatskiy,RU,69.3,139.9,-18.62,84,5,2.48,clear sky
7,Ushuaia,AR,-54.8,-68.3,40.66,81,40,4.61,scattered clouds
8,Praia Da Vitoria,PT,38.7333,-27.0667,68.76,88,40,19.24,scattered clouds
9,Bud,US,39.447,-86.1758,50.32,75,48,6.76,scattered clouds
10,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,74,63,6.06,broken clouds
11,Bredasdorp,ZA,-34.5322,20.0403,51.12,87,84,3.44,broken clouds
12,Hilo,US,19.7297,-155.09,76.73,82,90,6.91,overcast clouds
13,Manjeshwar,IN,12.7194,74.8861,81.55,77,91,3.44,overcast clouds
14,Vaini,TO,-21.2,-175.2,77.16,100,90,5.75,moderate rain
15,Hermanus,ZA,-34.4187,19.2345,57.9,74,47,2.46,scattered clouds
16,Rikitea,PF,-23.1203,-134.9692,75.63,75,100,9.82,light rain
17,Tyup,KG,42.7276,78.3648,28.47,76,12,0.74,few clouds
18,Pangnirtung,CA,66.1451,-65.7125,15.8,73,20,3.44,few clouds
19,Mataura,NZ,-46.1927,168.8643,70.74,49,100,1.63,overcast clouds
20,Coos Bay,US,43.3665,-124.2179,47.93,96,90,9.22,overcast clouds
21,Nome,US,64.5011,-165.4064,21.27,80,90,16.11,light snow
22,Esperance,AU,-33.8667,121.9,67.84,57,100,14.85,overcast clouds
23,Narsaq,GL,60.9167,-46.05,30.42,83,100,1.68,overcast clouds
24,Aklavik,CA,68.2191,-135.0107,18.32,96,93,5.44,overcast clouds
25,Izberbash,RU,42.5696,47.8645,51.85,72,12,2.51,few clouds
26,Cururupu,BR,-1.8283,-44.8683,74.95,91,95,3.0,overcast clouds
27,Mahanje,TZ,-9.9333,35.3333,67.08,73,67,3.8,broken clouds
28,Lata,PT,40.1629,-8.3327,51.08,65,99,4.09,overcast clouds
29,Sorland,NO,67.667,12.6934,32.07,54,98,14.38,overcast clouds
30,Mayo,US,38.8876,-76.5119,51.3,74,1,4.0,clear sky
31,Puerto Ayora,EC,-0.7393,-90.3518,69.35,81,37,7.74,scattered clouds
32,Nobeoka,JP,32.5833,131.6667,69.76,85,100,13.69,overcast clouds
33,Jurado,CO,7.1053,-77.7641,76.39,93,100,7.11,moderate rain
34,Victoria,HK,22.2855,114.1577,71.33,58,35,4.0,scattered clouds
35,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,79,90,4.61,light snow
36,Lasa,IT,46.6166,10.7002,40.08,65,66,6.2,broken clouds
37,Cape Town,ZA,-33.9258,18.4232,60.12,77,20,1.99,few clouds
38,Cidreira,BR,-30.1811,-50.2056,61.48,73,6,2.68,clear sky
39,Saint-Philippe,RE,-21.3585,55.7679,81.48,77,40,10.11,scattered clouds
40,Bluff,NZ,-46.6,168.3333,60.87,69,91,11.74,overcast clouds
41,Ronneby,SE,56.21,15.276,41.5,93,90,11.5,overcast clouds
42,Otane,NZ,-39.8833,176.6333,62.01,72,23,5.48,few clouds
43,Mezen,RU,65.8522,44.24,24.87,93,55,8.41,broken clouds
44,Camacha,PT,33.0833,-16.3333,63.82,59,40,11.5,scattered clouds
45,Loandjili,CG,-4.7561,11.8578,78.91,94,75,5.75,light rain
46,Clyde River,CA,70.4692,-68.5914,10.65,90,47,11.41,scattered clouds
47,Botwood,CA,49.1499,-55.3482,45.88,95,31,5.61,scattered clouds
48,Luderitz,NA,-26.6481,15.1594,55.63,82,0,8.61,clear sky
49,Vao,NC,-22.6667,167.4833,72.75,63,12,7.02,few clouds
50,Longyearbyen,SJ,78.2186,15.6401,12.04,79,75,4.61,broken clouds
51,Bethel,US,41.3712,-73.414,48.49,75,1,3.44,clear sky
52,Thompson,CA,55.7435,-97.8558,30.36,100,90,0.0,overcast clouds
53,Saldanha,ZA,-33.0117,17.9442,57.25,76,86,20.22,overcast clouds
54,Kyzyl-Suu,KG,42.3414,78.0056,31.21,62,3,0.43,clear sky
55,East London,ZA,-33.0153,27.9116,61.74,100,90,8.05,moderate rain
56,Rundu,NA,-17.9333,19.7667,70.75,63,94,5.26,overcast clouds
57,Richards Bay,ZA,-28.783,32.0377,70.84,94,100,6.62,overcast clouds
58,Yerbogachen,RU,61.2767,108.0108,28.06,92,100,12.3,light snow
59,San Patricio,US,28.017,-97.5169,70.83,74,0,6.64,clear sky
60,Butaritari,KI,3.0707,172.7902,81.88,71,17,9.73,few clouds
61,Souillac,MU,-20.5167,57.5167,79.36,78,75,10.36,broken clouds
62,Kapaa,US,22.0752,-159.319,80.58,75,40,16.11,scattered clouds
63,Aleksinac,RS,43.5417,21.7078,48.49,85,95,1.61,overcast clouds
64,Yellowknife,CA,62.456,-114.3525,26.42,99,90,5.75,light snow
65,Nouadhibou,MR,20.931,-17.0347,62.58,72,0,16.11,clear sky
66,Edd,ER,13.9297,41.6925,84.2,47,22,11.9,few clouds
67,Ribeira Grande,PT,38.5167,-28.7,69.51,85,52,23.11,broken clouds
68,Thai Nguyen,VN,21.5928,105.8442,65.98,56,90,7.61,overcast clouds
69,Hobart,AU,-42.8794,147.3294,69.03,45,75,1.01,broken clouds
70,Jamestown,US,42.097,-79.2353,47.71,88,1,1.99,clear sky
71,Dikson,RU,73.5069,80.5464,8.92,95,99,1.39,overcast clouds
72,Hala,PK,25.8131,68.4227,69.78,18,0,2.55,clear sky
73,Port Alfred,ZA,-33.5906,26.891,64.18,87,100,6.22,moderate rain
74,Santa Cruz,BO,-17.8,-63.1667,69.26,83,75,4.61,broken clouds
75,Shenjiamen,CN,29.9576,122.298,48.2,66,21,31.21,few clouds
76,Riyadh,SA,24.6877,46.7219,62.74,26,42,5.59,scattered clouds
77,Atuona,PF,-9.8,-139.0333,78.33,75,9,17.54,clear sky
78,Qaanaaq,GL,77.484,-69.3632,2.43,70,63,7.85,broken clouds
79,Burnie,AU,-41.0667,145.9167,61.7,50,7,11.16,clear sky
80,Negrar,IT,45.5288,10.938,50.79,100,40,2.3,scattered clouds
81,Rock Sound,BS,24.9,-76.2,75.78,69,100,17.02,overcast clouds
82,Sayansk,RU,54.1088,102.1648,30.65,63,100,3.4,overcast clouds
83,Upernavik,GL,72.7868,-56.1549,9.75,74,4,6.13,clear sky
84,Bestobe,KZ,52.4994,73.0975,32.94,39,95,21.09,overcast clouds
