City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ayan,RU,2021-11-15 16:42:20,56.45,138.1667,10.51,69,86,16.6
1,Manggar,ID,2021-11-15 16:42:20,-2.8833,108.2667,78.89,82,100,3.65
2,Albany,US,2021-11-15 16:42:21,42.6001,-73.9662,45.09,71,91,7.0
3,Mataura,NZ,2021-11-15 16:42:22,-46.1927,168.8643,41.86,99,100,2.82
4,Port Lincoln,AU,2021-11-15 16:42:23,-34.7333,135.8667,53.76,70,21,4.16
5,Ariquemes,BR,2021-11-15 16:42:23,-9.9133,-63.0408,87.03,66,93,5.48
6,Aktash,RU,2021-11-15 16:42:24,50.3,87.7333,9.18,70,84,7.61
7,Gijon,ES,2021-11-15 16:42:24,43.5357,-5.6615,57.79,87,63,1.01
8,Tautira,PF,2021-11-15 16:42:25,-17.7333,-149.15,80.62,77,96,15.05
9,Hamilton,US,2021-11-15 16:40:39,39.1834,-84.5333,42.6,66,1,3.0
10,Tabory,RU,2021-11-15 16:42:26,58.5198,64.5495,18.21,87,95,7.4
11,Nuuk,GL,2021-11-15 16:42:27,64.1835,-51.7216,16.41,67,40,10.36
12,Pringsewu,ID,2021-11-15 16:42:27,-5.3582,104.9744,72.82,96,100,3.36
13,Punta Arenas,CL,2021-11-15 16:42:28,-53.15,-70.9167,50.11,43,40,27.63
14,Cape Town,ZA,2021-11-15 16:42:29,-33.9258,18.4232,71.11,64,0,12.66
15,Rikitea,PF,2021-11-15 16:42:29,-23.1203,-134.9692,74.7,81,98,14.61
16,Mahebourg,MU,2021-11-15 16:42:30,-20.4081,57.7,76.24,83,20,4.61
17,Hereford,GB,2021-11-15 16:42:30,52.0568,-2.7148,53.74,92,100,2.71
18,Tasiilaq,GL,2021-11-15 16:42:31,65.6145,-37.6368,30.36,68,94,8.34
19,Bengkulu,ID,2021-11-15 16:42:32,-3.8004,102.2655,76.6,84,100,3.29
20,Ponta Delgada,PT,2021-11-15 16:42:33,37.7333,-25.6667,73.51,78,20,13.8
21,Jamestown,US,2021-11-15 16:42:33,42.097,-79.2353,38.79,92,90,11.99
22,Coahuayana,MX,2021-11-15 16:42:34,18.7333,-103.6833,83.68,35,21,1.72
23,Atuona,PF,2021-11-15 16:42:34,-9.8,-139.0333,77.9,75,25,11.56
24,Kapaa,US,2021-11-15 16:42:35,22.0752,-159.319,70.12,83,90,5.75
25,Dawlatabad,AF,2021-11-15 16:42:36,36.4141,64.9053,50.13,62,0,7.9
26,Puerto Ayora,EC,2021-11-15 16:42:36,-0.7393,-90.3518,75.16,73,84,10.16
27,Solnechnyy,RU,2021-11-15 16:42:37,50.7214,136.6319,8.98,95,61,2.64
28,Diglur,IN,2021-11-15 16:42:37,18.55,77.6,74.28,89,74,4.94
29,Sucua,EC,2021-11-15 16:42:38,-2.4667,-78.1667,81.34,61,40,8.05
30,Busselton,AU,2021-11-15 16:42:39,-33.65,115.3333,60.08,94,81,5.91
31,Cherskiy,RU,2021-11-15 16:42:39,68.75,161.3,16.38,88,100,4.41
32,Bend,US,2021-11-15 16:42:40,44.0582,-121.3153,56.48,44,1,4.0
33,Guerrero Negro,MX,2021-11-15 16:42:40,27.9769,-114.0611,79.14,30,0,1.81
34,Hobart,AU,2021-11-15 16:42:41,-42.8794,147.3294,44.46,77,90,1.01
35,Yerbogachen,RU,2021-11-15 16:39:38,61.2767,108.0108,16.07,98,100,2.86
36,Sao Filipe,CV,2021-11-15 16:42:42,14.8961,-24.4956,76.28,78,93,9.84
37,Khatanga,RU,2021-11-15 16:42:43,71.9667,102.5,-26.93,100,91,6.13
38,Bashtanka,UA,2021-11-15 16:42:44,47.4072,32.4387,40.1,59,0,12.1
39,Ushuaia,AR,2021-11-15 16:42:44,-54.8,-68.3,44.26,61,40,21.85
40,Luderitz,NA,2021-11-15 16:42:45,-26.6481,15.1594,69.13,66,3,15.08
41,Comodoro Rivadavia,AR,2021-11-15 16:42:46,-45.8667,-67.5,53.46,30,40,12.66
42,Hilo,US,2021-11-15 16:40:57,19.7297,-155.09,72.25,94,90,4.61
43,Presidencia Roque Saenz Pena,AR,2021-11-15 16:42:47,-26.7852,-60.4388,87.62,50,64,5.14
44,Nemuro,JP,2021-11-15 16:42:48,43.3236,145.575,39.9,61,64,16.2
45,Grindavik,IS,2021-11-15 16:42:48,63.8424,-22.4338,37.87,81,40,32.21
46,Bredasdorp,ZA,2021-11-15 16:42:49,-34.5322,20.0403,68.29,67,98,13.15
47,Chicama,PE,2021-11-15 16:42:49,-7.8447,-79.1469,64.94,60,53,10.33
48,Manzhouli,CN,2021-11-15 16:39:12,49.6,117.4333,24.73,65,30,5.3
49,Port Alfred,ZA,2021-11-15 16:43:50,-33.5906,26.891,69.1,77,92,13.67
50,Barrow,US,2021-11-15 16:43:51,71.2906,-156.7887,8.62,72,90,13.8
51,Faanui,PF,2021-11-15 16:43:52,-16.4833,-151.75,77.68,72,100,2.48
52,Tiksi,RU,2021-11-15 16:43:52,71.6872,128.8694,-13.54,97,71,7.0
53,East London,ZA,2021-11-15 16:43:53,-33.0153,27.9116,81.54,39,0,8.05
54,Tual,ID,2021-11-15 16:43:54,-5.6667,132.75,80.83,78,100,2.8
55,Airai,TL,2021-11-15 16:43:55,-8.9266,125.4092,60.96,87,100,1.39
56,Nikolskoye,RU,2021-11-15 16:43:55,59.7035,30.7861,32.88,70,100,8.55
57,Chifeng,CN,2021-11-15 16:39:09,42.2683,118.9636,26.65,86,5,4.36
58,Ambilobe,MG,2021-11-15 16:43:57,-13.2,49.05,78.76,75,60,1.43
59,Port Hardy,CA,2021-11-15 16:42:14,50.6996,-127.4199,42.8,93,90,4.61
60,Vila Velha,BR,2021-11-15 16:43:58,-20.3297,-40.2925,76.95,71,75,1.01
61,Marsa Matruh,EG,2021-11-15 16:43:58,31.3525,27.2453,69.39,75,8,7.94
62,Thompson,CA,2021-11-15 16:43:59,55.7435,-97.8558,26.76,93,90,4.61
63,Avarua,CK,2021-11-15 16:44:00,-21.2078,-159.775,73.45,83,20,5.75
64,Rudnogorsk,RU,2021-11-15 16:44:00,57.2639,103.7519,24.6,86,82,7.18
65,Codrington,AU,2021-11-15 16:44:01,-38.2667,141.9667,49.28,69,67,7.9
66,Wawa,NG,2021-11-15 16:44:02,9.9022,4.4192,88.05,34,46,4.23
67,Coihaique,CL,2021-11-15 16:44:02,-45.5752,-72.0662,51.75,43,40,3.44
68,Mount Vernon,US,2021-11-15 16:44:03,40.9126,-73.8371,46.44,69,75,7.0
